,品目,,出し方,出し方のポイント等
て,テントマット,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
て,天板,,粗大ごみ,金属製で30㎝未満のものは小さな金属類へ 木製・プラスチック製のもので50㎝未満のものは燃やすごみへ
て,点鼻薬のビン,,燃えないごみ,
て,点鼻薬の容器(プラスチック製),,プラスチック製容器包装,
て,テープカートリッジ,,燃やすごみ,
て,テーブル,,粗大ごみ,
て,テーブル(石製),,粗大ごみ,
て,テーブルクロス,,燃やすごみ,布製で汚れ・破れの無いものは、洗濯して乾かしてから古布へ
て,テーブルマット,,燃やすごみ,丸めて50cm以上になるものは粗大ごみへ
て,テープカッター(プラスチック製・木製),,燃やすごみ,金属製のものは小さな金属類へ ガラス製のものは燃えないごみへ
て,テープのり,,燃やすごみ,
て,テールライト(自転車),,燃やすごみ,
て,ディスクジャケット,,古紙(雑誌・その他の紙）,
て,ディスクチェンジャー(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
て,ディスクチェンジャー(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
て,ディスクペーパー,,燃やすごみ,
て,ディスプレイフィルター,,燃やすごみ,
て,ディスプレイモニター(TVチューナーなし)(PC用以外),,粗大ごみ,テレビチューナー付きのものは家電リサイクル、パソコンのモニターはパソコンリサイクルの対象となるためメーカーへ確認。それ以外のもので、50㎝未満でプラスチック製のものは燃やすごみ(充電式のものの充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)、金属製で30㎝未満のものは小さな金属類へ(家電リサイクル・パソコンリサイクルの対象外であることを明記して出す)
て,ディスペンサー(ガラス・陶器製),,燃えないごみ,
て,ディスペンサー,,燃やすごみ,容器として(中身が入った状態で)購入したものは、プラスチック製容器包装へ
て,ディスポーザー(自分で取り外したもののみ),,粗大ごみ,30cm未満のものは小さな金属類へ。業者が取り外したものは業者に処分を依頼する。
て,ディナーベル,,小さな金属類,
て,ディバイダー,,小さな金属類,
て,DVDライター,◎,燃やすごみ,
て,DVD/CDドライブ,◎,燃やすごみ,金属製のものは小さな金属類へ
て,DVD・ブルーレイディスク(ケース含む),,燃やすごみ,
て,デキャンター,,燃えないごみ,
て,デザインナイフ(柄が金属製),,小さな金属類,
て,デザインナイフ(柄が木製・プラスチック製),,燃やすごみ,
て,デジタルはかり(金属製),◎,小さな金属類,
て,デジタルはかり(プラスチック製),◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,デジタルフォトフレーム,◎,燃やすごみ,
て,デスクマット,,燃やすごみ,
て,デッキチェア,,粗大ごみ,
て,デッキパネル,,燃やすごみ,50cm以上のものは粗大ごみ
て,デッキブラシ(柄の部分含む),,粗大ごみ,50cm未満のものは燃やすごみへ
て,電圧計(金属製),◎,小さな金属類,
て,電圧計(プラスチック製),◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電圧変換器,◎,燃やすごみ,金属製で30㎝未満は小さな金属類へ
て,電気カイロ,◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電気かみそりの刃,,小さな金属類,新聞紙等に包み品名を表示する
て,電気かんな(主にプラスチック製),,燃やすごみ,金属製で30cm以上のものは粗大ごみ
て,電気窯,,粗大ごみ,
て,電気コンロ(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
て,電気コード・延長コード,◎,燃やすごみ,
て,電気式カイロ(金属製),◎,小さな金属類,電池は外して
て,電気式カイロ(プラスチック製),◎,燃やすごみ,電池は外して。充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電動乗用カー,,粗大ごみ,電池は外して
て,電気スタンド(石・ガラス製),,燃えないごみ,50㎝以上のものは粗大ごみへ
て,電気スタンド(金属製),,粗大ごみ,蛍光灯は外して。30cm未満の場合は小さな金属類
て,電気スタンド(プラスチック製),,燃やすごみ,蛍光灯は外して。50cm以上のものは粗大ごみ
て,電気フライヤー(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
て,電気フライヤー(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
て,電気ポット,,燃やすごみ,50㎝以上のものは粗大ごみへ。金属製で30㎝未満は小さな金属類、30㎝以上のものは粗大ごみへ
て,電気マット,,粗大ごみ,50cm未満のものは燃やすごみへ
て,電気毛布,,粗大ごみ,折りたたんで50㎝未満のものは燃やすごみへ
て,電球,,燃えないごみ,新聞紙等に包み品名を表示する
て,電極パッド,,燃やすごみ,
て,電源コードリール(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ プラスチック製のものは燃やすごみへ
て,電子オルガン,,粗大ごみ,
て,電子キーボード(楽器),,粗大ごみ,50cm未満のものは燃やすごみへ(充電式のものの充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す)
て,電子書籍リーダー,,燃やすごみ,
て,電子辞書・電子手帳,◎,燃やすごみ,電池は外して。 充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電子辞書・電子手帳のケース,,燃やすごみ,
て,電子タバコ(金属製),◎,小さな金属類,
て,電子タバコ(プラスチック製),◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電子ピアノ,,粗大ごみ,
て,電子メモパッド,◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電飾置物,,燃やすごみ,
て,電飾コード,,燃やすごみ,白熱球(取り外せるもの)は外して燃えないごみへ。LED電球はまとめて燃やすごみへ。
て,電飾ツリー,,燃やすごみ,50cm以上のものは粗大ごみへ
て,電子レンジ,,粗大ごみ,
て,電卓,◎,燃やすごみ,電池は抜く。金属製は小さな金属類へ
て,デンタルフロス,,燃やすごみ,ケースはプラスチック製容器包装へ
て,デンタルフロスの容器,,プラスチック製容器包装,
て,デンタルリンスの容器,,プラスチック製容器包装,
て,電池(充電池式),,販売店・回収協力店または専用回収箱,回収協力店は 一般社団法人JBRCのホームページ で検索するか、 収集事務所 にご相談ください。市役所・区役所・収集事務所に設置されている専用回収箱(黄色い箱)に出すこともできます。※出すときは端子部を絶縁テープで絶縁してください。※収集車の火災の原因となるため、集積場所に出さないでください。
て,電池ホルダー,,燃やすごみ,電池は抜く
て,電池(ボタン型),,販売店か回収協力店,回収協力店がわからないときは 資源循環局事務所 にご相談ください
て,電池(コイン型),,乾電池,リチウムコイン電池(型式番号にCR及びBRを含む製品)が対象です。それ以外の製品(ボタン型電池)は回収協力店へ。
て,電動熱燗器(金属製),◎,小さな金属類,陶器製の徳利ははずして燃えないごみへ 30㎝以上のものは粗大ごみへ
て,電動熱燗器(プラスチック製),◎,燃やすごみ,陶器製の徳利ははずして燃えないごみへ 50㎝以上のものは粗大ごみへ
て,電動おろし器(金属製),◎,小さな金属類,30㎝以上のものは粗大ごみへ
て,電動おろし器(金属製以外),◎,燃やすごみ,50㎝以上のものは粗大ごみへ
て,電動カート,,粗大ごみ,バッテリーは外して、メーカー、販売店へ相談
て,電動車いす,,粗大ごみ,バッテリーは外して
て,電動毛抜き,◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電動工具,◎,燃やすごみ,電池・充電池等は抜く。各パーツが30㎝未満のもの。30cm以上のものは粗大ごみへ。
て,電動式ソープディスペンサー(金属製),◎,小さな金属類,
て,電動式ソープディスペンサー(プラスチック製),◎,燃やすごみ,
て,電動シャープナー,,燃やすごみ,
て,電動自転車,,粗大ごみ,バッテリーは販売店か回収協力店または収集事務所へ。回収協力店は 一般社団法人JBRCのホームページ で検索するか、 収集事務所 にご相談ください。
て,電動歯ブラシ,◎,燃やすごみ,電池は抜く。充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電動ベッド,,粗大ごみ,介護用ベットで重量のあるものは一部除外あり
て,伝票,,古紙(雑誌・その他の紙）,
て,電報,,古紙(雑誌・その他の紙）,紙以外の飾り(リボンなど)は外して
て,電力変換装置,,小さな金属類,30㎝以上のものは粗大ごみへ
て,電話機,◎,燃やすごみ,FAX等複合機も対象。50cmを越えるものは粗大ごみへ。
て,電話機子機,◎,燃やすごみ,充電式ものは充電池を抜いて。充電池は回収協力店へ。充電池を取り外せないものは、他の燃やすごみとは別の袋で出す。
て,電話線,◎,燃やすごみ,
て,電話台,,粗大ごみ,木製・プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
て,電話帳,,古紙(雑誌・その他の紙）,
て,データスタンプ,,燃やすごみ,金属製のものは小さな金属類へ
と,砥石,,燃えないごみ,
と,トイレタンク,,粗大ごみ,
と,トイレタンクのふた,,燃えないごみ,プラスチック製のものは燃やすごみへ
と,トイレットペーパー,,燃やすごみ,
と,トイレットペーパーの個別包装紙(紙製),,古紙(雑誌・その他の紙）,
と,トイレットペーパーの個別包装紙(ビニール),,プラスチック製容器包装,
と,トイレットペーパーの芯,,古紙(雑誌・その他の紙）,
と,トイレットペーパーの外包装,,プラスチック製容器包装,
と,トイレットペーパーホルダー(布製),,燃やすごみ,
と,トイレットペーパーホルダー(金属製),,小さな金属類,
と,トイレットペーパーホルダー(木製・プラスチック製),,燃やすごみ,
と,トイレブラシ(金属製),,小さな金属類,ケースも含む。30cm以上のものは粗大ごみへ
と,トイレブラシ(陶器製),,燃えないごみ,ケースも含む。
と,トイレブラシ(プラスチック製),,燃やすごみ,ケースも含む
と,トイレポット,,燃やすごみ,金属製のものは小さな金属類へ。陶器製のものは燃えないごみへ
と,トイレマット,,燃やすごみ,
と,トイレ用置き型洗浄剤の容器,,プラスチック製容器包装,陶器製のものは燃えないごみへ
と,陶器製品,,燃えないごみ,新聞紙等に包み品名を表示する。50cm以上のものは粗大ごみへ
と,投光器,,小さな金属類,電球は外して燃えないごみへ
と,謄写版,,粗大ごみ,50cm未満のものは燃やすごみへ
と,豆乳メーカー,,燃やすごみ,
と,豆腐の容器のフタ,,プラスチック製容器包装,
と,豆腐の容器(プラスチック製),,プラスチック製容器包装,
と,灯油ポンプ,,燃やすごみ,電池式のものは電池を抜く。 50㎝以上のものは粗大ごみへ
と,灯籠,,粗大ごみ,50cm未満のものは燃えないごみへ 重量・サイズによっては収集できない場合があります。
と,砥ぎ棒(金属製),,小さな金属類,柄を含めずに30㎝以上のものは粗大ごみへ
と,砥ぎ棒(セラミック製),,燃えないごみ,50㎝以上のものは粗大ごみへ
と,戸車,,小さな金属類,
と,時計(壁掛け、置き時計),◎,燃やすごみ,50cm以上のものは粗大ごみへ。金属製で30cm未満のものは小さな金属類、30cm以上のものは粗大ごみへ。
と,時計(陶器・ガラス製),◎,燃えないごみ,50cm以上のものは粗大ごみへ。
と,時計の箱(ガラス製),,燃えないごみ,50cm以上のものは粗大ごみへ。
と,時計の箱(金属製),,小さな金属類,金属製で30cm未満のものは小さな金属類、30cm以上のものは粗大ごみへ。
と,時計の箱(プラスチック・布・革製),,燃やすごみ,
と,時計のベルト(金属製以外),,燃やすごみ,
と,時計のベルト(金属製),,小さな金属類,
と,吐瀉物,,燃やすごみ,嘔吐物が付いた布などは、ノロウイルスなど感染症のおそれがあるため、消毒液薬を入れて、袋の口を堅く縛り「嘔吐物あり」など明示して出す(布団など粗大ごみに付いた場合は、申し込み時に、受付センターに相談)。
と,とじひも,,燃やすごみ,
と,トタン板,,粗大ごみ,30cm未満のものは小さな金属類へ
と,戸棚・冷蔵庫の仕切り板,,燃やすごみ,
と,徳利,,燃えないごみ,
と,トッププレート,,粗大ごみ,
と,トナーカートリッジ,,燃やすごみ,50cm以上のものは粗大ごみ(販売店へ返却も可)
と,トノカバー,,粗大ごみ,
と,跳び箱,,粗大ごみ,
と,トライタン,,燃やすごみ,
と,トラベルケース,,燃やすごみ,50㎝以上のものは粗大ごみへ
と,トランク,,粗大ごみ,50cm未満のものは燃やすごみへ
と,トランシーバー,,燃やすごみ,電池・充電池は抜く。充電池は回収協力店へ。金属製のものは小さな金属類へ
と,トランプ,,燃やすごみ,紙製のものは古紙(雑誌・その他の紙)へ
と,トランプケース(プラスチック製),,燃やすごみ,紙製のものは古紙(雑誌・その他の紙)へ
と,トランポリン,,粗大ごみ,分解して50cm未満であれば燃やすごみへ。金属パーツは30cm未満であれば小さな金属類へ
と,取換式スパイクシューズのポイント・鋲,,燃やすごみ,金属製のものは小さな金属類へ
と,鳥かご,,粗大ごみ,木製・プラスチック製で50㎝未満のものは燃やすごみへ。金属製で30㎝未満のものは小さな金属類へ
と,鳥かごスタンド,,粗大ごみ,木・プラスチック製で50㎝未満は燃やすごみへ
と,トリコット(生地),,古布,洗濯して乾かしてから
と,塗料スプレー,,スプレー缶,中身を使い切って 穴はあけない。キャップはプラスチック製容器包装へ。中身が出せなくなったものについては 収集事務所 に相談
と,塗料のボトル(プラスチック製),,プラスチック製容器包装,中身を使い切って。容器だけを購入したものは燃やすごみへ
と,トレイ(生鮮食料品<惣菜・肉・魚など>の受け皿),,プラスチック製容器包装,給水シートも含む。
と,トレイ(文房具のトレーなど),,燃やすごみ,50cm以上のものは粗大ごみへ
と,トレリス(格子垣),,粗大ごみ,50cm未満のものは燃やすごみへ
と,トレーシングペーパー,,古紙(雑誌・その他の紙）,
と,トレーニングボール,,燃やすごみ,中身が砂のものは燃えないごみへ
と,トロ箱(魚等を購入した時の発泡スチロール箱),,プラスチック製容器包装,事業(鮮魚店等)で排出するものは、事業系ごみとして出す
と,トロフィー・優勝カップ(ガラス製),,燃えないごみ,50cm以上のものは粗大ごみへ
と,トロフィー・優勝カップ(金属・ガラス製以外),,燃やすごみ,50cm以上のものは粗大ごみへ
と,トロフィー・優勝カップ(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
と,トロ舟,,粗大ごみ,一番長い辺が50cm未満の場合は燃やすごみ
と,トング等(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
と,トング等(プラスチック・木・シリコン製),,燃やすごみ,
と,トースター,,小さな金属類,30cm以上のものは粗大ごみへ
と,ドア,,粗大ごみ,
と,ドアクローザー,,小さな金属類,
と,ドアストッパー,,燃やすごみ,金属製のものは小さな金属類へ
と,ドアノブ,,小さな金属類,木製・プラスチック製のものは燃やすごみへ
と,ドアホン,◎,燃やすごみ,
と,ドアミラー,,燃やすごみ,ガラス部分のみを廃棄する場合は燃えないごみへ
と,道着,,古布,洗濯をして乾かしてから
と,銅製品,,小さな金属類,30cm以上のものは粗大ごみへ
と,動物の毛,,燃やすごみ,
と,動物の死体,,個別に相談,
と,ドッグタグ,,小さな金属類,金属製以外のものは燃やすごみ
と,土のう,,燃えないごみ,
と,土嚢袋,,燃やすごみ,中の土は燃えないごみへ
と,土瓶,,燃えないごみ,
と,ドミノ,,燃やすごみ,
と,ドライバー等工具,,小さな金属類,新聞紙等に包み品名を表示する 30cm以上のものは粗大ごみへ
と,ドライフラワー,,燃やすごみ,
と,ドライブレコーダー,◎,燃やすごみ,
と,ドライヤー・ヘアアイロン,◎,燃やすごみ,金属の割合が多いものは、小さな金属類へ
と,ドラム缶,,粗大ごみ,
と,ドラム(楽器),,粗大ごみ,
と,ドラムスティック・太鼓ばち,,燃やすごみ,
と,ドラムユニット,,燃やすごみ,
と,ドリッパー(ガラス・陶器製),,燃えないごみ,
と,ドリッパー(金属製),,小さな金属類,
と,ドリッパー(プラスチック製),,燃やすごみ,
と,ドリル,,小さな金属類,電池・充電池等は抜く。30cm以上のものは粗大ごみへ
と,ドリルビット,,小さな金属類,
と,ドリンクカップ(プラスチック製),,プラスチック製容器包装,プラスチック製のふたも対象。容器のみを購入した物は燃やすごみへ
と,ドリンクカップ(紙製),,燃やすごみ,プラスチック製のふたはプラスチック製容器包装へ
と,ドレッサー,,粗大ごみ,
と,ドレッシングタイプ調味料(ノンオイル)の入っていたペットボトル,,缶・びん・ペットボトル,ペットボトルマークを確認。油脂を使っているドレッシングは軽くすすいでからプラスチック製容器包装へ
と,ドレッシングのびん,,缶・びん・ペットボトル,
と,泥よけマット,,粗大ごみ,50cm未満のものは燃やすごみへ
と,どんぶり(陶器製),,燃えないごみ,新聞紙等に包み品名を表示する
と,ドーナツの箱,,燃やすごみ,油汚れがついていないものは古紙へ
と,ドールハウス,,燃やすごみ,50cm以上のものは粗大ごみへ
と,泥除け(自転車用品),,燃やすごみ,金属製で30㎝以上のものは粗大ごみへ、30cm以下のものは小さな金属類へ
な,ナイフ(金属製),,小さな金属類,新聞紙等に包み品名を表示する 30cm以上のものは粗大ごみへ
な,ナイフスタンド(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
な,ナイフスタンド(木製・プラスチック製),,燃やすごみ,
な,ナイロンタオル,,燃やすごみ,
な,ナイロンひも,,燃やすごみ,
な,苗カバー,,燃やすごみ,
な,長靴,,燃やすごみ,
な,流しそうめん機,,燃やすごみ,50cm以上のものは粗大ごみへ
な,流し台シート,,燃やすごみ,
な,流し台(自分で取り外したもの),,粗大ごみ,請負工事に伴い取り外したものは業者に処分を依頼する。
な,長火鉢,,粗大ごみ,木製で50cm以下のものは燃やすごみへ
な,薙刀,,粗大ごみ,
な,投網,,燃やすごみ,折りたたんで50cm以上の場合は粗大ごみ
な,鉈,,小さな金属類,新聞紙等に包み品名を表示する 。30cm以上のものは粗大ごみへ
な,捺染紙,,燃やすごみ,
な,ナット,,小さな金属類,
な,納豆の容器(紙製・わら製),,燃やすごみ,
な,納豆の容器(プラスチック製),,プラスチック製容器包装,容器についた汚れは軽くすすぐか拭き取って
な,ナップサック,,燃やすごみ,
な,夏がけ布団,,燃やすごみ,畳んで一番長い辺が50cm以上のものは粗大ごみ
な,名札ケース,,燃やすごみ,
な,なべ・皿(アルミはく),,燃やすごみ,
な,鍋敷き(金属製),,小さな金属類,
な,鍋敷き(木製・プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ 陶器・ガラス製のものは燃えないごみへ
な,鍋つかみ,,燃やすごみ,
な,なべ(陶器製 土鍋など),,燃えないごみ,新聞紙等に包み品名を表示する
な,鍋の取手(木製、プラスチック製),,燃やすごみ,取っ手が取り外しできるタイプのもの。金属製のものは小さな金属類へ。
な,鍋のフタ,,小さな金属類,ガラス製のふた・土鍋は燃えないごみへ
な,なべ(ホーロー、金属製),,小さな金属類,30cm以上(取っ手は除く)のものは粗大ごみへ
な,生ごみ,,燃やすごみ,
な,生ごみ処理機,,粗大ごみ,50cm未満のものは燃やすごみへ
な,なわとび,,燃やすごみ,
な,縄,,燃やすごみ,
な,縄はしご(ステップが金属製),,粗大ごみ,30㎝未満は小さな金属類へ
な,縄はしご(ステップが木製),,燃やすごみ,50㎝以上のものは粗大ごみへ
な,ナンバリングスタンプ,,小さな金属類,ゴム製のものは燃やすごみへ
な,生クリームパック,,古紙（紙パック）,
に,肉たたき,,小さな金属類,
に,荷締機,,燃やすごみ,金属製で30cm未満のものは小さな金属類、金属製で30cm以上のものは粗大ごみへ
に,24時間風呂(浴水循環ろ過装置),,粗大ごみ,プラスチック製で50cm未満のものは燃やすごみへ。金属製で30cm未満のものは小さな金属類へ
に,日記帳,,古紙(雑誌・その他の紙）,表紙が布・革製の場合は外して燃やすごみへ
に,ニップレス,,燃やすごみ,
に,荷ヒモ,,燃やすごみ,
に,日本刀,,最寄りの警察署に相談,
に,乳酸飲料容器のフタ(銀紙),,燃やすごみ,
に,乳酸飲料容器(プラスチック製ボトル),,プラスチック製容器包装,ふた(銀紙・アルミ箔)は燃やすごみへ
に,乳幼児用エプロン,,燃やすごみ,布製のものは古布へ
に,入浴剤のボトル(プラスチック製),,プラスチック製容器包装,商品として購入したものは燃やすごみへ
に,入浴剤の容器(紙製),,燃やすごみ,プラスチック製のふたはプラスチック製容器包装へ
に,入浴剤の容器(缶),,小さな金属類,プラスチック製のふたはプラスチック製容器包装へ
に,尿取りパッド,,燃やすごみ,
に,庭石,,燃えないごみ,50cm以上のものは粗大ごみへ。 粗大ごみの場合、重量及びサイズによっては受付できない場合があります。
に,庭草,,燃やすごみ,大量に出す場合は収集事務所に相談
に,人形,,燃やすごみ,ガラス製・陶器製は燃えないごみ、金属製のものは小さな金属類へ。50cm以上のもの(金属製は30㎝以上)は粗大ごみ
に,人形(金属製),,小さな金属類,30㎝以上のものは粗大ごみへ
に,人形ケース(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
に,人形ケース(ガラス製),,燃えないごみ,50cm以上のものは粗大ごみへ
に,妊娠検査薬,,燃やすごみ,
ぬ,縫い糸,,燃やすごみ,
ぬ,ぬいぐるみ,,燃やすごみ,50cm以上のものは粗大ごみ
ぬ,ぬか,,燃やすごみ,
ぬ,抜き型,,燃やすごみ,金属製のものは小さな金属類へ
ぬ,布おむつ,,燃やすごみ,汚物はトイレに流して
ぬ,布きれ,,古布,汚れのひどいものは燃やすごみへ
ぬ,布製カゴ,,燃やすごみ,50㎝を超えるものは粗大ごみ
ぬ,布製の箱,,燃やすごみ,
ぬ,布製の袋,,燃やすごみ,
ぬ,布の紐,,燃やすごみ,
ぬ,塗り絵,,古紙(雑誌・その他の紙）,
ぬ,濡れた紙,,古紙(雑誌・その他の紙）,
ぬ,ヌンチャク,,燃やすごみ,金属製で30cm未満のものは小さな金属類、金属製で30cm以上のものは粗大ごみへ
ね,ネイルニッパー,,小さな金属類,
ね,ネイル(つけ爪),,燃やすごみ,
ね,ネクタイ,,古布,洗濯して乾かしてから
ね,ネクタイかけ(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
ね,ネクタイかけ(木製・プラスチック製),,燃やすごみ,
ね,ネクタイピン,,小さな金属類,
ね,猫じゃらし,,燃やすごみ,
ね,ネコの爪とぎ,,燃やすごみ,50cm以上のものは粗大ごみへ。段ボール製で糞尿や油汚れのないものは古紙へ。
ね,猫よけシート,,燃やすごみ,
ね,ネジ,,小さな金属類,
ね,ネストテーブル,,粗大ごみ,30cm以上のものは粗大ごみへ、木製で50cm未満のものは燃やすごみへ、ガラス部分が多い50cm未満のものは燃えないごみへ
ね,ネズミ取り(金属製),,小さな金属類,30cm以上のものは粗大ごみへ 金属製以外のものは燃やすごみへ
ね,ネックウォーマー,,古布,
ね,値札,,古紙(雑誌・その他の紙）,シール状のもの、プラスチック製の札及びICタグは燃やすごみへ
ね,寝袋,,燃やすごみ,
ね,ネブライザー(吸入器),,燃やすごみ,50cm以上のものは粗大ごみ 事業で排出するものは、事業系ごみ。プラマークの付いているものはプラスチック製容器包装
ね,寝間着,,古布,洗濯をして乾かしてから
ね,練り香水の容器(プラスチック製),,プラスチック製容器包装,ガラス製のものは燃えないごみへ。缶のものは小さな金属類へ
ね,粘着シート,,燃やすごみ,
ね,粘着テープ,,燃やすごみ,
ね,粘着パッド,,燃やすごみ,
ね,粘着フィルム,,燃やすごみ,50cm以上のものは粗大ごみへ
ね,粘着ローラー(本体部分),,燃やすごみ,50cm以上のものは粗大ごみへ
ね,粘土,,燃えないごみ,
ね,粘土板,,燃やすごみ,
ね,燃料タンク,,粗大ごみ,30cm未満で金属でできたものは小さな金属へ。50cm未満のものは燃やすごみへ
ね,ネームタグ,,燃やすごみ,
ね,ネームプレート(金属製),,小さな金属類,木製・プラスチック製のものは燃やすごみへ。陶器製のものは燃えないごみへ
の,農耕具,,粗大ごみ,
の,納品書,,古紙(雑誌・その他の紙）,
の,農薬,,販売店へ相談,
の,ノギス,,小さな金属類,
の,のこぎり,,粗大ごみ,新聞紙等に包み品名を表示する。30㎝未満のものは小さな金属類へ
の,のし袋,,古紙(雑誌・その他の紙）,飾り(外せるもの)は燃やすごみへ
の,のし袋の飾り,,燃やすごみ,
の,のどスプレー,,プラスチック製容器包装,容器がガラス製の場合は、「缶・びん・ペットボトル」へ
の,ノミ,,小さな金属類,
の,のりの缶,,缶・びん・ペットボトル,
の,のれん(布製),,古布,のれんを通す棒(50cm以上)は粗大ごみへ
の,のれん(木製),,粗大ごみ,50㎝未満は燃やすごみへ
の,ノート,,古紙(雑誌・その他の紙）,
は,バターケース(プラスチック製),,プラスチック製容器包装,ケースだけを購入した物は燃やすごみへ
は,バター・チーズの外箱(紙製),,古紙(雑誌・その他の紙）,中身が溶けたり包み紙がないなどで箱が汚れているものは燃やすごみへ
は,灰,,燃えないごみ,小さい袋に入れて。量が多い時は数回に分けて出す
は,灰皿(ガラス・陶器・石製),,燃えないごみ,金属製のものは小さな金属類へ プラスチック製のものは燃やすごみへ
は,灰皿(金属製),,小さな金属類,
は,灰皿(プラスチック製),,燃やすごみ,
は,排水溝のフタ(金属製),,小さな金属類,
は,排水口のふた(プラスチック製),,燃やすごみ,金属製のものは小さな金属類へ
は,排水トラップ(金属製以外),,燃やすごみ,
は,排水トラップ(金属製),,小さな金属類,
は,排水ポンプ(金属製),,粗大ごみ,30cm未満のものは小さな金属類へ
は,排水ポンプ(プラスチック製),,燃やすごみ,50cm以上のものは粗大ごみへ
は,ハイドロカルチャー用セラミックボール,,燃えないごみ,
は,廃油,,販売店へ相談,食用油については燃やすごみ
は,排卵検査器,◎,燃やすごみ,
は,ハイローチェアー,,粗大ごみ,
は,はえたたき,,燃やすごみ,
は,はかり,,燃やすごみ,金属製のものは小さな金属類へ
は,ハガキ,,古紙(雑誌・その他の紙）,
は,ハガキケース,,燃やすごみ,金属製のものは小さな金属類へ
は,剥製,,粗大ごみ,50cm未満のものは燃やすごみへ
は,はくり紙,,古紙(雑誌・その他の紙）,
は,歯車,,小さな金属類,木製・プラスチック製のものは燃やすごみへ
は,刷毛,,燃やすごみ,
は,羽子板,,燃やすごみ,50cm以上のものは粗大ごみへ
は,はさみ,,小さな金属類,新聞紙等に包み品名を表示する。30cm以上のものは粗大ごみへ
は,箸置き(ガラス製・陶器製),,燃えないごみ,
は,箸置き(金属製),,小さな金属類,
は,箸置き(木製・プラスチック製),,燃やすごみ,
は,はしご,,粗大ごみ,
は,箸立て(金属製),,小さな金属類,
は,箸立て(木製・プラスチック製),,燃やすごみ,
は,箸箱,,燃やすごみ,金属製のものは小さな金属類へ
は,箸袋(布製),,燃やすごみ,
は,はし(木製・プラスチック製),,燃やすごみ,
は,はし(金属製),,小さな金属類,30cm以上のものは粗大ごみへ
は,旗,,燃やすごみ,棒については、50cm以上のものは粗大ごみへ
は,はたき,,燃やすごみ,50cm以上のものは粗大ごみへ
は,裸電線,,小さな金属類,
は,肌掛け布団,,燃やすごみ,畳んで50cm以上のものは粗大ごみへ
は,蜂の巣,,燃やすごみ,50㎝以下にする。生きた蜂は捨てないでください。
は,はちまき,,古布,
は,はちみつの容器(プラスチック製),,プラスチック製容器包装,
は,ハットボックス,,古紙(雑誌・その他の紙）,金属製は小さな金属類へ。プラスチック製の収納箱は燃やすごみへ
は,発泡ウレタン,,燃やすごみ,
は,発泡スチロールカッター,◎,燃やすごみ,電池は抜く。金属製のものは小さな金属類へ
は,発泡スチロール,,プラスチック製容器包装,50cm未満の大きさにする
は,発泡スチロール(そのものを商品として購入した場合),,燃やすごみ,50cm未満の大きさにする
は,発泡ビーズ,,燃やすごみ,
は,発炎筒,,燃やすごみ,未使用のものは販売店に相談
は,発電機,,粗大ごみ,持ち運び可能なものに限る オイル・ガソリン等は抜いて
は,ハトロン紙,,古紙(雑誌・その他の紙）,
は,鼻毛カッター,,燃やすごみ,金属製のものは小さな金属類へ
は,花束のラッピング,,プラスチック製容器包装,
は,花束のラッピング(紙),,古紙(雑誌・その他の紙）,濡れてもリサイクルできます
